wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run 89sk39hu
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260708_030509-89sk39hu
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.9_pruning_ratio_0.9_delta_t_8
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/fwmccalv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/89sk39hu
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 8
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: rigl
sparsity: 0.9
num_mask_updates: 10000
t_end_ratio: 0.8
pruning_ratio: 0.9
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] rigl | sparsity=0.9 | total_steps=108000 | t_end=86400 

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 28:  28%|██▊       | 28/100 [01:11<02:57,  2.46s/it, acc=0.808, lr=0.001, test_acc=0.531]
Iter 0 | Epoch 28:  29%|██▉       | 29/100 [01:11<02:54,  2.45s/it, acc=0.808, lr=0.001, test_acc=0.531]
Iter 0 | Epoch 29:  29%|██▉       | 29/100 [01:11<02:54,  2.45s/it, acc=0.808, lr=0.001, test_acc=0.531]
Iter 0 | Epoch 29:  29%|██▉       | 29/100 [01:14<02:54,  2.45s/it, acc=0.822, lr=0.001, test_acc=0.218]
Iter 0 | Epoch 29:  30%|███       | 30/100 [01:14<02:52,  2.46s/it, acc=0.822, lr=0.001, test_acc=0.218]
Iter 0 | Epoch 30:  30%|███       | 30/100 [01:14<02:52,  2.46s/it, acc=0.822, lr=0.001, test_acc=0.218]
Iter 0 | Epoch 30:  30%|███       | 30/100 [01:16<02:52,  2.46s/it, acc=0.837, lr=0.001, test_acc=0.383]
Iter 0 | Epoch 30:  31%|███       | 31/100 [01:16<02:49,  2.45s/it, acc=0.837, lr=0.001, test_acc=0.383]
Iter 0 | Epoch 31:  31%|███       | 31/100 [01:16<02:49,  2.45s/it, acc=0.837, lr=0.001, test_acc=0.383]
Iter 0 | Epoch 31:  31%|███       | 31/100 [01:19<02:49,  2.45s/it, acc=0.843, lr=0.001, test_acc=0.327]
Iter 0 | Epoch 31:  32%|███▏      | 32/100 [01:19<02:47,  2.46s/it, acc=0.843, lr=0.001, test_acc=0.327]
Iter 0 | Epoch 32:  32%|███▏      | 32/100 [01:19<02:47,  2.46s/it, acc=0.843, lr=0.001, test_acc=0.327]
Iter 0 | Epoch 32:  32%|███▏      | 32/100 [01:21<02:47,  2.46s/it, acc=0.857, lr=0.001, test_acc=0.21] 
Iter 0 | Epoch 32:  33%|███▎      | 33/100 [01:21<02:44,  2.45s/it, acc=0.857, lr=0.001, test_acc=0.21]
Iter 0 | Epoch 33:  33%|███▎      | 33/100 [01:21<02:44,  2.45s/it, acc=0.857, lr=0.001, test_acc=0.21]
Iter 0 | Epoch 33:  33%|███▎      | 33/100 [01:24<02:44,  2.45s/it, acc=0.867, lr=0.001, test_acc=0.224]
Iter 0 | Epoch 33:  34%|███▍      | 34/100 [01:24<02:42,  2.46s/it, acc=0.867, lr=0.001, test_acc=0.224]
Iter 0 | Epoch 34:  34%|███▍      | 34/100 [01:24<02:42,  2.46s/it, acc=0.867, lr=0.001, test_acc=0.224]
Iter 0 | Epoch 34:  34%|███▍      | 34/100 [01:26<02:42,  2.46s/it, acc=0.869, lr=0.001, test_acc=0.322]
