,timestamp,accuracy
798,1783124170.05578,0.7624
799,1783124188.9055583,0.7631
800,1783124213.0393128,0.7681
801,1783124234.2664545,0.7711
802,1783124255.1606886,0.773
803,1783124276.2165391,0.7701
804,1783124297.5318034,0.7711
805,1783124318.8320892,0.7714
806,1783124339.7487614,0.7722
807,1783124360.35883,0.7721
808,1783124381.0184891,0.7728
809,1783124401.5779445,0.7731
810,1783124422.1221209,0.7739
811,1783124442.7896936,0.7751
812,1783124463.2858799,0.7752
813,1783124485.2455595,0.7746
814,1783124506.4677837,0.774
815,1783124527.0346105,0.7735
816,1783124547.7017057,0.747
817,1783124568.246523,0.7653
818,1783124589.8037224,0.7649
819,1783124610.9336147,0.771
820,1783124632.0632544,0.7771
821,1783124652.9803748,0.775
822,1783124673.520081,0.7768
823,1783124693.9384098,0.7738
824,1783124714.516301,0.7714
825,1783124735.44785,0.7664
826,1783124755.8951626,0.7591
827,1783124776.7471642,0.7702
828,1783124797.8759413,0.7718
829,1783124819.0939305,0.7754
830,1783124839.8618503,0.772
831,1783124860.532904,0.7707
832,1783124881.1579075,0.7681
833,1783124901.7102027,0.7692
834,1783124922.3467124,0.7652
835,1783124942.6471093,0.7725
836,1783124963.1414883,0.7712
837,1783124983.6417525,0.7749
838,1783125004.1809857,0.7742
839,1783125024.7400568,0.7753
840,1783125046.2163594,0.7689
841,1783125067.6953757,0.7711
842,1783125088.3719316,0.7704
843,1783125110.261975,0.7628
844,1783125131.0507483,0.7666
845,1783125151.4244964,0.7685
846,1783125172.118446,0.7692
847,1783125192.4994617,0.7647
848,1783125212.9767878,0.7711
849,1783125234.4792497,0.7706
850,1783125255.71415,0.7713
851,1783125276.7035315,0.773
852,1783125297.921998,0.7722
853,1783125319.08421,0.7718
854,1783125340.09127,0.7739
855,1783125361.2215693,0.7742
856,1783125382.3270047,0.7738
857,1783125403.0983958,0.7763
858,1783125423.566726,0.7743
859,1783125444.0017188,0.7765
860,1783125464.7290843,0.7754
861,1783125485.974899,0.7747
862,1783125506.7564101,0.7752
863,1783125527.2299392,0.775
864,1783125547.6793191,0.7757
865,1783125568.689401,0.7749
866,1783125589.2244442,0.7754
867,1783125609.8686218,0.7749
868,1783125630.3931873,0.7751
869,1783125651.0530534,0.738
870,1783125671.653239,0.7622
871,1783125693.3395646,0.7695
872,1783125713.6576726,0.7743
873,1783125734.5777152,0.7765
874,1783125754.9814687,0.7783
875,1783125775.458003,0.778
876,1783125796.4083374,0.7787
877,1783125816.7600582,0.7792
878,1783125837.1452372,0.7799
879,1783125857.4743755,0.7785
880,1783125878.8575258,0.7812
881,1783125899.8255684,0.7808
882,1783125920.9885387,0.779
883,1783125941.3133059,0.7793
884,1783125961.6279652,0.7793
885,1783125982.0071387,0.7792
886,1783126002.5007741,0.7798
887,1783126022.9197927,0.779
888,1783126043.3987136,0.7797
